"id","latitude","longitude","elevation","state","name"
"RSM00025173","68.9000","-179.3669","2.0","","MYS SHMIDTA"
"RSM00025206","67.4500","153.7200","20.0","","SREDHEKOLYMSK"
"RSM00025248","67.2500","168.9700","352.0","","ILIRNEJ"
"RSM00025282","67.8300","-175.8000","3.0","","MYS VANKAREM"
"RSM00025325","66.5500","159.4200","127.0","","UST-OLOJ"
"RSM00025356","66.3797","173.3300","78.0","","ENMUVEEM"
"RSM00025372","67.0000","-178.9000","139.0","","AMGUEMA"
"RSM00025378","66.3497","-179.1000","21.0","","EGVEKINOT"
"RSM00025392","66.9330","-171.8330","20.0","","ENURMINO"
"RSM00025399","66.1700","-169.8000","5.0","","MYS UELEN"
"RSM00025400","65.7300","150.9000","41.0","","ZYRJANKA"
"RSM00025428","65.2300","160.5300","260.0","","OMOLON"
"RSM00025503","64.7500","153.9700","97.0","","KORKODON"
"RSM00025526","64.2500","161.0700","373.0","","KEGALI"
"RSM00025538","64.2200","164.2300","324.0","","VERHNEE PENZINO"
"RSM00025551","64.6831","170.4167","25.0","","MARKOVO"
"RSM00025563","64.7831","177.5667","64.0","","ANADYR"
"RSM00025594","64.4167","-173.2333","25.0","","BUHTA PROVIDENJA"
"RSM00025621","64.0000","158.9200","682.0","","KEDON"
"RSM00025656","63.4000","172.7000","200.0","","BEREZOVO-1"
"RSM00025677","63.0500","179.3200","3.0","","BERINGOVSKAJA"
"RSM00025703","62.9167","152.4167","206.0","","SEJMCHAN"
"RSM00025705","62.4500","152.3200","264.0","","SREDNEKAN"
"RSM00025715","62.5000","155.7830","542.0","","OMSUKCHAN"
"RSM00025744","62.4831","166.2167","10.0","","KAMENSKOE"
"RSM00025745","62.4831","166.2167","10.0","","KAMENSKOE"
"RSM00025767","62.0500","175.2000","11.0","","HATYRKA"
"RSM00025777","62.4000","179.1000","4.0","","GAVRIILA BUHTA"
"RSM00025802","61.8700","152.2200","583.0","","STRELKA"
"RSM00025821","61.9500","158.9670","23.0","","NAJAHAN"
"RSM00025822","61.9500","160.3670","2.0","","GIZIGA"
"RSM00025902","60.7500","151.7700","796.0","","ATKA"
"RSM00025912","59.5700","151.2800","4.0","","OLA"
"RSM00025913","59.5500","150.7831","115.0","","MAGADAN"
"RSM00025916","58.8300","151.3500","64.0","","MYS ALEVINA"
"RSM00025922","60.7200","155.8800","34.0","","SHELIHOVO"
"RSM00025927","59.6500","154.2700","7.0","","BROHOVO"
"RSM00025932","60.6800","160.4000","45.0","","TAJGONOS"
"RSM00025954","60.3500","166.0000","2.0","","KORF"
"RSM00025956","60.4300","169.6700","3.0","","APUKA"
"RSM00026059","59.3670","28.6000","19.0","","KINGISEPP"
"RSM00026063","59.9667","30.3000","3.0","","ST. PETERSBURG"
"RSM00026069","59.4000","30.1000","90.0","","BELOGORKA"
"RSM00026072","59.9330","31.0000","17.0","","PETROKREPOST"
"RSM00026078","59.3500","31.2330","39.0","","LJUBAN"
"RSM00026092","59.9500","34.2000","91.0","","SUGOZERO"
"RSM00026094","59.7000","33.6000","61.0","","TIHVIN"
"RSM00026099","59.5000","34.7000","176.0","","EFIMOVSKAJA"
"RSM00026157","58.7000","27.8000","40.0","","GDOV"
"RSM00026167","58.5670","29.8000","91.0","","NIKOLAEVSKOE"
"RSM00026179","58.5170","31.2500","24.0","","NOVGOROD"
"RSM00026188","58.6800","32.7000","113.0","","VEREBYE (CLOSED)"
"RSM00026196","58.9000","34.5330","164.0","","HVOJNAJA"
"RSM00026258","57.8167","28.3331","43.0","","PSKOV"
"RSM00026264","58.2670","29.1000","129.0","","STRUGI KRASNYE"
"RSM00026268","57.8170","29.9500","71.0","","DNO"
"RSM00026275","58.0000","31.3000","24.0","","STARAJA_RUSSA"
"RSM00026283","58.3670","33.3170","176.0","","OKULOVKA"
"RSM00026285","58.2670","32.5330","63.0","","KRESTCY"
"RSM00026289","57.9670","33.2330","219.0","","VALDAJ"
"RSM00026291","58.4170","33.9000","89.0","","BOROVICI"
"RSM00026298","57.9000","34.1000","213.0","","BOLOGOE"
"RSM00026359","57.0000","28.9000","108.0","","PUSKINSKIE_GORY"
"RSM00026378","57.1500","31.1830","71.0","","HOLM"
"RSM00026381","57.6500","32.4670","62.0","","DEMJANSK"
"RSM00026384","57.3300","32.0500","101.0","","MAREVO (CLOSED)"
"RSM00026389","57.1330","33.1170","218.0","","OSTASKOV"
"RSM00026393","57.5500","34.5670","169.0","","VYSNIJ VOLOCEK"
"RSM00026477","56.3500","30.6167","97.0","","VELIKIE LUKI"
"RSM00026479","56.4800","31.6300","187.0","","TOROPEC"
"RSM00026498","56.2670","34.3170","196.0","","RZEV"
"RSM00026499","56.5000","34.9300","184.0","","STARITSA"
"RSM00026585","55.8500","32.9500","222.0","","BELYJ"
"RSM00026695","55.1670","34.4000","251.0","","VJAZMA"
"RSM00026702","54.7167","20.5500","21.0","","KALININGRAD"
"RSM00026781","54.7500","32.0667","239.0","","SMOLENSK"
"RSM00026795","54.4170","34.0170","238.0","","SPAS-DEMENSK"
"RSM00026882","53.9330","32.8330","224.0","","ROSLAVL"
"RSM00026894","53.5330","33.7500","177.0","","ZUKOVKA"
"RSM00026896","53.7500","34.7300","193.0","","ZHIZDRA"
"RSM00026898","53.3300","34.2297","162.0","","BRJANSK"
"RSM00026976","53.0000","31.6000","148.0","","KRASNAJA_GORA"
"RSM00026997","52.6000","33.7997","178.0","","TRUBCEVSK"
"RSM00027008","59.4000","35.9000","137.0","","BABAEVO"
"RSM00027026","59.6330","39.3000","133.0","","KOROBOVO"
"RSM00027037","59.3167","39.9167","125.0","","VOLOGDA"
"RSM00027051","59.9700","42.7500","134.0","","TOT-MA"
"RSM00027066","59.5300","45.4500","141.0","","NIKOLSK"
"RSM00027083","59.9000","48.3000","180.0","","OPARINO"
"RSM00027097","59.3830","48.9830","213.0","","MURASI"
"RSM00027108","58.5670","35.6330","145.0","","OHONY"
"RSM00027113","59.2500","37.9670","114.0","","CEREPOVEC"
"RSM00027164","58.8200","44.3200","150.0","","YEKIMTSEVO (KOLOGRIV)"
"RSM00027199","58.6000","49.6331","157.0","","KIROV"
"RSM00027208","57.8000","35.9000","140.0","","MAKSATIHA"
"RSM00027217","57.8000","36.7000","147.0","","BEZECK"
"RSM00027225","58.1000","38.7000","114.0","","RYBINSK"
"RSM00027242","58.4830","41.5330","97.0","","BUJ"
"RSM00027243","58.4000","42.4000","132.0","","GALITCH"
"RSM00027252","58.3500","43.3830","144.0","","NIKOLO-POLOMA"
"RSM00027271","58.3670","45.5330","125.0","","SAR'JA"
"RSM00027277","57.9000","45.8000","136.0","","VETLUGA"
"RSM00027281","58.3000","47.1170","166.0","","SABALINO"
"RSM00027283","58.3000","48.4000","127.0","","KOTEL'NIC"
"RSM00027296","58.1000","49.9000","175.0","","KUMENY"
"RSM00027316","57.3500","37.5830","138.0","","KASIN"
"RSM00027321","57.5000","38.3000","122.0","","UGLIC"
"RSM00027329","57.2000","39.4170","102.0","","ROSTOV"
"RSM00027331","57.6330","39.7500","129.0","","JAROSLAVL'"
"RSM00027333","57.7331","40.8500","125.0","","KOSTROMA"
"RSM00027346","57.4500","42.1670","128.0","","KINESMA"
"RSM00027347","56.9500","40.9670","126.0","","IVANOVO"
"RSM00027355","57.3330","43.1170","132.0","","JUR'EVEC"
"RSM00027369","57.1330","45.1670","111.0","","KRASNYE BAKI"
"RSM00027373","57.6670","46.6330","176.0","","SAKUN'JA"
"RSM00027393","57.5500","49.9500","136.0","","NOLINSK"
"RSM00027402","56.8830","35.8670","137.0","","TVER"
"RSM00027412","56.8670","37.3830","123.0","","SAVELOVO"
"RSM00027417","56.3500","36.7500","167.0","","KLIN"
"RSM00027428","56.4000","38.7500","185.0","","ALEKSANDROV"
"RSM00027441","56.9000","41.4000","98.0","","SHU'J"
"RSM00027453","56.7000","43.4000","157.0","","VOLZSKAJA_GMO"
"RSM00027459","56.2667","44.0000","161.0","","NIZNIJ NOVGOROD"
"RSM00027462","56.7330","44.5170","118.0","","SEMENOV"
