"id","latitude","longitude","elevation","state","name"
"KZ000035969","45.2500","67.0670","138.0","","ZLIKHA"
"KZ000035986","45.4000","72.4000","431.0","","TUKEN"
"KZ000035996","45.3800","74.2000","345.0","","KUYGAN"
"KZ000035997","45.1000","73.9670","349.0","","CIGANAK"
"KZ000036001","51.8000","75.4000","197.0","","EKIBASTUZ"
"KZ000036002","52.4000","75.9000","120.0","","PRIOZERNIY,SOVHOZ"
"KZ000036003","52.3000","76.9330","122.0","","PAVLODAR"
"KZ000036012","52.4000","78.2000","148.0","","SHERBAKTI"
"KZ000036015","51.9000","78.8000","163.0","","SALDAJ"
"KZ000036017","51.5000","77.3000","132.0","","BELOGOR'E"
"KZ000036027","51.1000","79.4000","249.0","","NOVONIKOLAEVKA"
"KZ000036126","50.8000","75.7000","504.0","","BAJANAUL"
"KZ000036152","50.8670","78.3500","149.0","","SEMIJARKA"
"KZ000036177","50.4167","80.3000","196.0","","SEMEJ"
"KZ000036183","50.8000","80.8000","360.0","","DMITRIEVKA"
"KZ000036186","50.6330","81.9170","320.0","","SEMONAIHA"
"KZ000036189","50.2000","81.9000","260.0","","GAGARINA"
"KZ000036198","50.3000","82.6000","449.0","","SEKISOVKA"
"KZ000036208","50.3330","83.5500","811.0","","RIDDER"
"KZ000036335","49.3830","75.5170","812.0","","KARKARALINSK"
"KZ000036358","49.2000","77.3670","842.0","","KAJNAR"
"KZ000036392","49.7000","81.6000","365.0","","CHALOBAY"
"KZ000036394","49.5830","81.0500","334.0","","CHARSKAYA"
"KZ000036397","49.2170","81.2170","455.0","","ZHANGIZTOBE"
"KZ000036403","50.0300","82.5000","285.0","","UST'-KAMENOGORSK"
"KZ000036410","49.7000","83.4000","374.0","","BUHTARMA"
"KZ000036415","49.6000","83.5000","397.0","","SELEZNEVKA"
"KZ000036418","49.0330","83.3830","0.0","","SAMARSKOE"
"KZ000036421","49.7170","84.2830","492.0","","ZIRYANOVSK"
"KZ000036428","49.2000","84.5170","401.0","","ULKEN NARY"
"KZ000036439","49.1830","85.6170","1081.0","","KATON-KARAGAJ"
"KZ000036467","48.2000","75.1000","780.0","","AKTOGAY"
"KZ000036487","48.2670","77.3170","699.0","","OGIZTAU"
"KZ000036498","48.1670","78.4170","643.0","","BARSHATAS"
"KZ000036501","48.9000","79.2000","618.0","","KARA-AUL"
"KZ000036513","48.8000","80.9000","678.0","","JARMA"
"KZ000036535","48.7500","82.3670","512.0","","KOKPEKTY"
"KZ000036536","48.4000","82.9000","425.0","","BOLSHEVIK,SOVHOZ"
"KZ000036546","48.5500","83.6830","427.0","","KURCUM"
"KZ000036563","48.7000","86.4800","1081.0","","ORLOVSKIY POSELOK"
"KZ000036567","48.4000","85.7000","574.0","","ALEKSEEVKA,AMSG"
"KZ000036569","48.0170","85.1830","412.0","","BURAN"
"KZ000036598","47.0000","77.2000","600.0","","SAYAK"
"KZ000036619","46.9000","79.6000","364.0","","AKTOGOY"
"KZ000036622","47.9670","80.4500","655.0","","AJAGUZ"
"KZ000036639","47.1170","81.6170","491.0","","URDZHAR"
"KZ000036643","47.8000","82.7000","535.0","","AKSUAT"
"KZ000036656","47.6000","83.7000","653.0","","AKJAR"
"KZ000036665","47.4667","84.9167","603.0","","ZAJSAN"
"KZ000036666","47.8000","84.2000","388.0","","PRIOSERNIY"
"KZ000036686","46.5500","76.8670","349.0","","ALGAZY OSTROV"
"KZ000036705","43.3000","79.5000","1273.0","","PODGORNOE"
"KZ000036723","46.9000","80.8000","380.0","","KARAKOL"
"KZ000036729","46.1667","80.9331","388.0","","UCH-ARAL"
"KZ000036736","46.6500","82.7500","441.0","","BAHTY"
"KZ000036744","45.5000","75.2000","353.0","","AUL_N4"
"KZ000036761","45.7000","77.2670","368.0","","NAYMAN-SUYEK"
"KZ000036773","45.9000","78.7170","412.0","","MATAJ"
"KZ000036777","45.1700","78.0000","421.0","","USH-TOBE"
"KZ000036778","45.0000","78.3830","602.0","","TALDY-KURGAN"
"KZ000036784","45.5000","79.5000","544.0","","AKSUKSKAYA"
"KZ000036786","45.4170","79.9330","1113.0","","SARKAND"
"KZ000036796","45.5000","80.6000","1012.0","","LEPSINSK"
"KZ000036803","46.0000","81.5000","336.0","","ALAKOL"
"KZ000036806","45.6000","82.1000","385.0","","JALANACKOL'"
"KZ000036817","44.0000","75.3000","832.0","","ANARCAY"
"KZ000036819","44.1330","75.8500","576.0","","AYDARLI"
"KZ000036821","44.8330","76.2670","396.0","","BAKANAS"
"KZ000036829","44.3000","76.7670","432.0","","KURTY RIVER"
"KZ000036831","45.0000","77.3000","266.0","","JETYJOL"
"KZ000036837","44.0170","77.1330","710.0","","ILIYSK"
"KZ000036839","44.3500","77.9670","948.0","","SARI-OZEK"
"KZ000036843","44.8000","79.0000","1722.0","","TEKELY"
"KZ000036846","44.4670","78.6670","1385.0","","KUGALI"
"KZ000036859","44.1667","80.0667","645.0","","ZHARKENT"
"KZ000036864","43.5000","75.3000","742.0","","OTAR"
"KZ000036870","43.2331","76.9331","851.0","","ALMATY"
