STATION,DATE,DP01,DP01_ATTRIBUTES,DP05,DP05_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES
UPM00033587,2011,103,E,,,51,E,,,,,0,E,127,E,47,E,135,E,5,E,593.2," ,E",,
UPM00033587,2012,113,E,,,49,E,,,,,17,E,109,E,60,E,143,E,22,E,584.1," ,E",,
UPM00033587,2013,120,E,,,56,E,,,,,0,E,111,E,32,E,129,E,0,E,554.5," ,E",,
UPM00033587,2014,99,E,,,54,E,,,,,9,E,110,E,42,E,120,E,5,E,607.5," ,E",,
UPM00033587,2015,98,E,,,50,E,,,,,1,E,102,E,27,E,129,E,12,E,517.2," ,E",,
UPM00033587,2016,117,E,,,57,E,,,,,4,E,107,E,38,E,129,E,9,E,600.4," ,E",,
UPM00033587,2017,116,E,,,61,E,,,,,1,E,98,E,37,E,131,E,17,E,548.9," ,E",,
UPM00033587,2018,115,E,,,64,E,,,,,3,E,127,E,61,E,142,E,3,E,600.8," ,E",,
UPM00033587,2019,113,E,,,48,E,,,,,0,E,94,E,31,E,138,E,4,E,376.7," ,E",,
UPM00033593,1961,101,I,,,48,I,,,,,,,,,,,,,,,438.3," ,I",,
UPM00033593,1962,108,I,,,48,I,,,,,,,,,,,,,,,480.9," ,I",,
UPM00033593,1963,104,I,,,46,I,,,,,,,,,,,,,,,454," ,I",,
UPM00033593,1964,115,I,,,50,I,,,,,,,,,,,,,,,454," ,I",,
UPM00033593,1965,122,I,,,54,I,,,,,,,,,,,,,,,626.6," ,I",,
UPM00033593,1967,137,I,,,63,I,,,,,,,,,,,,,,,559.8," ,I",,
UPM00033593,1968,132,I,,,65,I,,,,,,,,,,,,,,,542.9," ,I",,
UPM00033593,1969,132,I,,,56,I,,,,,,,,,,,,,,,501.8," ,I",,
UPM00033593,1970,165,I,,,74,I,,,,,,,,,,,,,,,696.9," ,I",,
UPM00033593,1971,142,I,,,68,I,,,,,,,,,,,,,,,726.8," ,I",,
UPM00033593,1972,103,I,,,40,I,,,,,,,,,,,,,,,485.2," ,I",,
UPM00033593,1973,129,I,,,54,I,,,,,,,,,,,,,,,547.7," ,I",,
UPM00033593,1974,118,I,,,49,I,,,,,,,,,,,,,,,517," ,I",,
UPM00033593,1975,111,I,,,43,I,,,,,,,,,,,,,,,392.2," ,I",,
UPM00033593,1979,138,I,,,62,I,,,,,,,,,,,,,,,630.2," ,I",,
UPM00033593,1980,163,I,,,78,I,,,,,,,,,,,,,,,773.7," ,I",,
UPM00033593,1981,150,I,,,65,I,,,,,,,,,,,,,,,714.1," ,I",,
UPM00033593,1982,109,I,,,42,I,,,,,,,,,,,,,,,431.3," ,I",,
UPM00033593,1984,126,I,,,64,I,,,,,,,,,,,,,,,578.4," ,I",,
UPM00033593,1985,129,I,,,62,I,,,,,,,,,,,,,,,630.5," ,I",,
UPM00033593,1986,96,I,,,48,I,,,,,,,,,,,,,,,368.3," ,I",,
UPM00033593,1987,124,I,,,52,I,,,,,,,,,,,,,,,449," ,I",,
UPM00033593,1988,127,I,,,67,I,,,,,,,,,,,,,,,676," ,I",,
UPM00033593,1989,120,I,,,54,I,,,,,,,,,,,,,,,518.9," ,I",,
UPM00033593,1990,125,I,,,57,I,,,,,,,,,,,,,,,582.4," ,I",,
UPM00033593,2001,,,,,,,,,,,2,u,108,u,40,u,118,u,18,u,,,,
UPM00033605,1961,102,I,,,44,I,,,,,,,,,,,,,,,417," ,I",,
UPM00033605,1962,98,I,,,44,I,,,,,,,,,,,,,,,508.8," ,I",,
UPM00033605,1963,103,I,,,52,I,,,,,,,,,,,,,,,516.6," ,I",,
UPM00033605,1964,102,I,,,46,I,,,,,,,,,,,,,,,427.9," ,I",,
UPM00033605,1977,139,I,,,77,I,,,,,,,,,,,,,,,726.3," ,I",,
UPM00033605,1979,136,I,,,71,I,,,,,,,,,,,,,,,570.4," ,I",,
UPM00033605,1980,157,I,,,79,I,,,,,,,,,,,,,,,801.1," ,I",,
UPM00033605,1982,87,I,,,39,I,,,,,,,,,,,,,,,346.4," ,I",,
UPM00033605,1984,122,I,,,63,I,,,,,,,,,,,,,,,534," ,I",,
UPM00033605,1985,117,I,,,58,I,,,,,,,,,,,,,,,678.3," ,I",,
